Subject,Condition,Trial index,Subject response,FINAL - total mechanisms,FINAL - total shape references,FINAL - abstract shape references,FINAL - concrete shape references,FINAL - total color references,FINAL - abstract color references,FINAL - concrete color references,FINAL - total purple dot references,FINAL - abstract purple dot references,FINAL - concrete purple dot references
user_1573681812685,Explain,1,It is balanced,0,0,0,0,0,0,0,0,0,0
user_1573681812685,Explain,2,"Bottom, is not pointy plus it the circle is constantly moving.",0,2,1,1,0,0,0,0,0,0
user_1573681812685,Explain,3,the circle doesnt do anything,0,1,0,1,0,0,0,0,0,0
user_1573681812685,Explain,4,pointy bottom,0,1,1,0,0,0,0,0,0,0
user_1573681812685,Explain,5,pointy bottom,0,1,1,0,0,0,0,0,0,0
user_1573681812685,Explain,6,circle bottom doesnt help with anything,0,1,0,1,0,0,0,0,0,0
user_1573681812685,Explain,7,pointy bottom helped,0,1,1,0,0,0,0,0,0,0
user_1573681812685,Explain,8,circular bottom doesnt help with anything,0,1,1,0,0,0,0,0,0,0
user_1573678265178,Explain,1,because the lure is very noticeable for the fish to think it's their food.,1,0,0,0,0,0,0,0,0,0
user_1573678265178,Explain,2,"the lure is too round, that the lure couldn't catch the fish even though the fish came around.",1,1,1,0,0,0,0,0,0,0
user_1573678265178,Explain,3,"the yellow is too bright in the water, it's hard for the fish to spot in the water.",1,0,0,0,2,1,1,0,0,0
user_1573678265178,Explain,4,the end of the lure is pointy enough to catch the fish,1,1,1,0,0,0,0,0,0,0
user_1573678265178,Explain,5,the color is bright and has pointy end for it to catch the fish when fish bites.,1,1,1,0,1,1,0,0,0,0
user_1573678265178,Explain,6,the bottom lure is round which can't hook the fish to catch it,1,1,1,0,0,0,0,0,0,0
user_1573678265178,Explain,7,both lure is sharp enough to catch the fish.,1,1,1,0,0,0,0,0,0,0
user_1573678265178,Explain,8,"bottom one is too round, no sharp edges for the fish to get stuck.",1,2,2,0,0,0,0,0,0,0
user_1573681828983,Describe,1,"This lure combination that was used to successfully catch fish has three components: a red tear drop shape, a purple circle inside the teardrop shape, and an upside-down yellow triangle beneath the red teardrop shape.",0,2,0,2,2,0,2,1,0,1
user_1573681828983,Describe,2,This lure combination that did not successfully catch fish has two components: a green circle and a blue teardrop below the green circle,0,2,0,2,2,0,2,0,0,0
user_1573681828983,Describe,3,"This lure combination that did not successfully catch fish has three components: a yellow diamond, a green circle below the yellow diamond, and a purple circle inside the green circle",0,2,0,2,2,0,2,1,0,1
user_1573681828983,Describe,4,"This lure combination that successfully caught fish has three components: a blue oval, a yellow star under the blue oval. and a purple circle inside the yellow star",0,2,0,2,2,0,2,1,0,1
user_1573681828983,Describe,5,"This lure combination that successfully caught fish has four components: a red circle, a purple circle inside of the red circle, a green diamond, and a purple circle inside of the green diamond",0,2,0,2,2,0,2,2,0,2
user_1573681828983,Describe,6,"This lure combination that was not successful in catching fish has two components: a blue star, and a red circle",0,2,0,2,2,0,2,0,0,0
user_1573681828983,Describe,7,"This lure combination that was successful in catching fish has three components: a yellow diamond, a purple circle in the yellow diamond, and a blue diamond",0,2,0,2,2,0,2,1,0,1
user_1573681828983,Describe,8,"This lure combination that was not successful in catching fish has four components: an upside-down green triangle, a purple circle in the green triangle, a red oval, and a purple circle in the red oval",0,2,0,2,2,0,2,2,0,2
user_1573682158469,Explain,1,They caught a fish using this lure combination due to the close resemblance it has to a fish and its vibrant color scheme.,1,0,0,0,1,1,0,0,0,0
user_1573682158469,Explain,2,They didn't catch any fish because the lure combination is uninviting and has no shape or color familiarity that would attract it.,1,0,0,0,0,0,0,0,0,0
user_1573682158469,Explain,3,They didn't catch any fish because the lure doesn't have a color scheme or shape of familiarity.,1,0,0,0,0,0,0,0,0,0
user_1573682158469,Explain,4,"Based off the first lure they used that caught fish, it may be due to the long, round main body and yellow, triangular attachment.",0,2,1,1,1,0,1,0,0,0
user_1573682158469,Explain,5,"Following on the previous observation, it appears the fish are attracted to lures with a color scheme including green, red, and blue. Also they main body of the lure is a round shape, with a triangular attachment.",1,2,1,1,3,0,3,0,0,0
user_1573682158469,Explain,6,They did not catch any fish due to the lure having a more triangular body with a round attachment.,0,2,1,1,0,0,0,0,0,0
user_1573682158469,Explain,7,"They might have caught a fish due to the purple dot located on the lure. The dot may appear as an eye to the fish, so they believe it is safe to approach as they think it is just another fish.",1,0,0,0,0,0,0,1,0,1
user_1573682158469,Explain,8,"They didn't catch any fish because the lure doesn't share a resemblance with something the fish are familiar with. The triangular, green body most likely appears foreign, and the red attachment doesn't help.",1,1,0,1,2,0,2,0,0,0
user_1573664448979,Explain,1,because it was the right order for the fish in the lake,0,0,0,0,0,0,0,0,0,0
user_1573664448979,Explain,2,"possibly because it's cool colored, a.k.a blue/green and camoflauges with the lake",1,0,0,0,3,1,2,0,0,0
user_1573664448979,Explain,3,maybe the fishes don't like green,1,0,0,0,1,0,1,0,0,0
user_1573664448979,Explain,4,it doesn't have green on it,0,0,0,0,1,0,1,0,0,0
user_1573664448979,Explain,5,ok so the fish does like green. i now think it's because the lure combo has a pointed bottom,1,1,1,0,1,0,1,0,0,0
user_1573664448979,Explain,6,the lure doesn't have a pointed bottom,0,1,1,0,0,0,0,0,0,0
user_1573664448979,Explain,7,it has a pointed bottom,0,1,1,0,0,0,0,0,0,0
user_1573664448979,Explain,8,it doesn't have a pointed bottom,0,1,1,0,0,0,0,0,0,0
user_1573668338160,Describe,1,"It is a yellow triangle with a red tear drop on it, containing a blue circle. Looks like a pin.",0,2,0,2,2,0,2,1,0,1
user_1573668338160,Describe,2,A green circle with a blue tear drop beneath it.,0,2,0,2,2,0,2,0,0,0
user_1573668338160,Describe,3,A yellow rhombus with a green circle attached to its lower corner. The green circle contains a smaller circle.,0,2,0,2,2,0,2,1,0,1
user_1573668338160,Describe,4,An elliptical figure which has a yellow shuriken attached to it in the bottom and this shuriken contains a small blue circle.,0,2,0,2,2,0,2,1,0,1
user_1573668338160,Describe,5,A red circle with a rhombus at one end. Both the circle and the rhombus contain a smaller blue circle in them.,0,2,0,2,1,0,1,2,0,2
user_1573668338160,Describe,6,A blue shuriken with a smaller red circle attached to it on one end.,0,2,0,2,2,0,2,0,0,0
user_1573668338160,Describe,7,A larger yellow rhombus with a smaller blue rhombus attached to its lower corner. The yellow rhombus also contains a small blue circle in it.,0,2,0,2,2,0,2,1,0,1
user_1573668338160,Describe,8,A green triangle with a blue circle in its top left corner which has a smaller red ellipse also containing a blue dot attached to its lower corner.,0,2,0,2,2,0,2,2,0,2
user_1573678369310,Describe,1,a tear drop the color of red with a purple circle on the right. below the tear drop is a small yellow triangle,0,2,0,2,2,0,2,1,0,1
user_1573678369310,Describe,2,a large green circle with a tear drop in a blue color below it,0,2,0,2,2,0,2,0,0,0
