row,subjID,free_response_str,free_response_coder1,free_response_coder2,equal?,Revision
1,user_1579305710969,I looked at the colors and shapes of lure combination that my friend caught fishes. I approved the one that was similar to those.,0,0,TRUE,0
2,user_1579194678938,whether the bottom one is round or not,1,0,FALSE,1
3,user_1579284326081,"comparison with the shown example.[newline]if A combination catches fish --> similar one will catch [newline]if B combination does not catch fish --> similar one will not catch fish[newline][newline]similarity in color, shape.[newline]if too different in color like a change from red circle to green circle,[newline]I assumed it would not have the same effect",0,0,TRUE,0
4,user_1579215643144,"I couldn't really find a rule, but I believe that yellow, red, and the purple dot are appealing to the fish.",0,0,TRUE,0
5,user_1579197988272,If the lure combination had some kind of relevant form for the fish to realize and think it is not a novel object/creature,0,0,TRUE,0
6,user_1579215658114,"No matter what's on the upper side, I just looked at the lower shape to see if it's spiky",1,1,TRUE,1
7,user_1579215605616,the object in the end of the lure has to have many angles,1,1,TRUE,1
8,user_1579305551774,"When the shape at the bottom of the picture was round, it would not catch a fish, because the fish's mouth would just slip through, whereas when they were pointy, they could hook on better to the fish. Color, nor the purple dots, nor the top/bigger shape matter.[newline]",1,1,TRUE,1
9,user_1579197975863,"if the shape of the lower part of the lure has caught a fish before, that shape will catch another fish when combined with any other shapes above it",0,0,TRUE,0
10,user_1579305576041,"The rule I used if the fish would be caught is if the whatever was hanging off the end (the bottom of the lure) had a sharp edge, so when fish bite they would get stuck.",1,1,TRUE,1
11,user_1579284442919,The bottom part of the lure needs to be a shape with more than 1 point. so circles and cone shapes will not get any fish.,1,1,TRUE,1
12,user_1579197956417,"I look at the color combination of the lure, and I check which color will best attract the fish.",0,0,TRUE,0
13,user_1579197963470,I looked at the color of the lure to decide whether or not each lure combination would catch fish.,0,0,TRUE,0
14,user_1579219227658,The single best rule that I used for deciding whether or not each lure combination will catch fish was that the bottom shape would indicate if the lure will catch fish based on previous combinations in which they consisted of.,0,0,TRUE,0
15,user_1579305566870,"Looked at each component of the lure and if it did not work in other situations, then fish was not caught.",0,0,TRUE,0
16,user_1579208200966,The lure need to have either yellow or red color. And each lure would have a small purple circle on the yellow/red part of the lure.,0,0,TRUE,0
17,user_1579212319954,"for the first lure, I just guess if it can catch a fish. But after a few trials, I started to find the shape that are most likely catch the fish and compared it with a novel lure and see if there are any patterns or combination that make it either can catch a fish or not.",0,0,TRUE,0
18,user_1579219153464,"If it had any of the same colors marked in accordance to where it was at, then it was a good combination. The shapes and others did not matter in my opnion.",0,0,TRUE,0
19,user_1579284342519,"If the bottom of the lure was round, it would not catch a fish. Only lures with a pointy tip would.",1,1,TRUE,1
20,user_1579287780266,"If the shape at the bottom is round, it will not catch fish. If the shape at the bottom is sharp/has angles, it will catch fish.",1,1,TRUE,1
21,user_1579284397497,A lure combination can catch fish if it has orange circle with purple dot or yellow with purple dot.,0,0,TRUE,0
22,user_1579194691731,I based it on whether the bottom shape or color was similar to a lure that did catch fish.,0,0,TRUE,0
23,user_1579212340838,angle point at the bottom of the lure,1,1,TRUE,1
24,user_1579212226365,"The only thing that decides whether the fishing lure works is that the bottom shape has to have angle, such as star, triangle, and square. For the bottoms such as banana shape and circle, since there is no angle in these shapes, therefore won't catch a fish.",1,1,TRUE,1
25,user_1579219158469,"the pointier the end of the lure is, the better chances one gets at catching a fish",1,1,TRUE,1
26,user_1579208538125,if the smaller shape was sharp/ had corners or not,1,1,TRUE,1
27,user_1579194724670,Whether or not it was realistically going to fit into the fish's mouth and not slide out or allow the fish let go,0,0,TRUE,0
28,user_1579208807017,Shape and color of the biggest portion of the lure. Reds and circular shapes seemed to attract many fish.,0,0,TRUE,0
29,user_1579212382927,I took note of the shape of the lure combination that caught fish. I noticed that the lure combination always or most of the time had a round or oval body with a dot inside and the shape it usually touched had a pointy edge.,0,0,TRUE,0
30,user_1579194662020,"I thought it was smooth top, pointy bottom but that was clearly wrong",0,0,TRUE,0
31,user_1579194695509,"The best rule to decide if the combination will catch fish is to look at the bottom shape. If the bottom shape is round (or has no edges), the lure will not catch fish. If the bottom shape has sharp edges (diamond, triangle, etc), the lure will catch fish.",1,1,TRUE,1
