expt_version,subjID,is_test,is_control,instruction_start_ts,instruction_end_ts,expt_start_ts,expt_end_ts,generation_start_ts,generation_end_ts,judgment_start_ts,judgment_end_ts,evaluation_start_ts,evaluation_end_ts,memory_start_ts,memory_end_ts
1,user_1579305710969,False,True,1579305710970,1579305842257,1579305710970,1579308467265,1579307589739,1579307912125,1579307912126,1579308018487,1579308018488,1579308305664,1579308305666,1579308467265
1,user_1579194678938,False,False,1579194678938,1579194706001,1579194678938,1579195111824,1579194961623,1579194986062,1579194986063,1579195028344,1579195028344,1579195088935,1579195088936,1579195111824
1,user_1579284326081,False,True,1579284326081,1579284379798,1579284326081,1579285034250,1579284696836,1579284846411,1579284846411,1579284934539,1579284934540,1579285011490,1579285011490,1579285034250
1,user_1579215643144,False,False,1579215643145,1579215680278,1579215643145,1579216241574,1579216046934,1579216086149,1579216086150,1579216140886,1579216140886,1579216223717,1579216223717,1579216241574
1,user_1579197988272,False,False,1579197988273,1579198043156,1579197988273,1579198926883,1579198605628,1579198654866,1579198654867,1579198757772,1579198757773,1579198879774,1579198879775,1579198926882
1,user_1579215658114,False,False,1579215658115,1579215711777,1579215658115,1579216246034,1579216017441,1579216049233,1579216049233,1579216115874,1579216115874,1579216208393,1579216208393,1579216246034
1,user_1579215605616,False,False,1579215605616,1579215665908,1579215605616,1579216183004,1579216028187,1579216068115,1579216068115,1579216105451,1579216105452,1579216159691,1579216159692,1579216183004
1,user_1579305551774,False,True,1579305551774,1579305625748,1579305551774,1579306612638,1579306325789,1579306427982,1579306427982,1579306486567,1579306486567,1579306581534,1579306581534,1579306612638
1,user_1579197975863,False,True,1579197975863,1579198009597,1579197975863,1579198381814,1579198206918,1579198251934,1579198251934,1579198285071,1579198285071,1579198362469,1579198362470,1579198381814
1,user_1579305576041,False,True,1579305576041,1579305606735,1579305576041,1579306172124,1579305914851,1579305957748,1579305957748,1579306012941,1579306012942,1579306133075,1579306133075,1579306172124
1,user_1579284442919,False,False,1579284442920,1579284486673,1579284442920,1579285510030,1579285319119,1579285363453,1579285363453,1579285411255,1579285411256,1579285479354,1579285479356,1579285510029
1,user_1579197956417,False,True,1579197956418,1579198004711,1579197956417,1579198526636,1579198322685,1579198369788,1579198369788,1579198430413,1579198430413,1579198506083,1579198506083,1579198526636
